# Memory mountain (MB/sec)
--	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
17	47788	23913	19362	14398	8849	7208	5118	4379	3952	3594	3220	2732	2875	2671	2446	
16	42363	25791	21996	15075	10368	9371	7256	5269	4732	3282	3138	3058	3551	3286	3199	
15	59467	36843	23218	16654	15287	12277	9291	7800	7093	6008	6331	6134	5134	6141	6950	
14	61708	58948	38245	29228	21152	18911	15707	13219	12416	11970	11725	11663	10067	6339	9389	
13	57594	59241	46000	33349	26096	20849	17995	15487	14673	11855	13513	13419	13416	10401	11200	
12	58070	49577	41368	32700	25592	20462	17614	10076	14495	13803	13428	13196	13121	13112	13110	
11	71121	59203	41952	19357	24859	20068	17108	14603	14003	13297	12958	12849	12994	13081	13592	
10	65660	49505	34118	25817	25906	22321	16033	14308	14574	17391	17708	18012	18100	18346	18483	
9	69764	64599	51405	37647	30832	26709	22879	19981	19882	19810	19711	19654	19603	19794	19757	
8	70681	67724	52600	39379	31028	26324	22502	19707	19601	19702	19611	19550	19641	19565	19677	
7	70965	66943	52279	39100	30864	26193	22386	19664	19673	19676	19592	19596	19604	19531	19536	
6	69790	66355	51876	38907	30728	26042	22434	9652	19608	19551	19491	19464	19911	5580	15070	
5	68583	67120	43699	63562	63332	16040	64516	60127	67398	18122	25107	60965	11981	33965	36031	
4	71927	68857	56019	56839	68834	64969	30254	18058	27540	17216	45770	31485	31351	38141	29997	
